Time;Latitude;Longitude;Altitude;Speed;row;pitch;yaw
244,828249;-6,9800968;107,5696579;680,1;0,9626006;-0,54;440.000.000.000.000;249.120.000.000.000
245,028559;-6,9800955;107,5696557;680,21;203.960.800.000.000;-0,19;423.000.000.000.000;248.870.000.000.000
245,22804;-6,9800929;107,5696508;680,54;453.313.400.000.000;0,03;417.000.000.000.000;248.620.000.000.000
245,428614;-6,9800881;107,5696435;680,93;536.008.400.000.000;0,08;430.000.000.000.000;248.400.000.000.000
245,628583;-6,9800815;107,5696348;681,17;664.801.500.000.000;0,02;450.000.000.000.000;248.250.000.000.000
245,828418;-6,9800739;107,5696239;681,21;794.428.700.000.000;-0,05;466.000.000.000.000;248.170.000.000.000
246,029037;-6,9800652;107,5696109;681,23;933.949.100.000.000;-0,13;480.000.000.000.000;248.150.000.000.000
246,228409;-6,9800557;107,5695959;681,35;102.936.500.000.000;-0,16;493.000.000.000.000;248.190.000.000.000
246,428381;-6,9800455;107,5695791;681,65;113.840.800.000.000;-0,11;511.000.000.000.000;248.320.000.000.000
246,628422;-6,9800347;107,5695608;682,15;121.519.600.000.000;0;526.000.000.000.000;248.520.000.000.000
246,828172;-6,9800239;107,5695411;682,63;127.125.500.000.000;0,26;538.000.000.000.000;248.800.000.000.000
247,048345;-6,980014;107,5695201;683,03;127.908.400.000.000;0,56;553.000.000.000.000;249.120.000.000.000
247,228516;-6,9800054;107,5694989;683,64;127.182.700.000.000;0,84;561.000.000.000.000;249.410.000.000.000
247,428353;-6,9799972;107,5694775;684,31;126.839.300.000.000;102.000.000.000.000;569.000.000.000.000;249.690.000.000.000
247,628278;-6,9799896;107,5694561;685,05;127.097.300.000.000;111.000.000.000.000;569.000.000.000.000;249.970.000.000.000
247,848057;-6,9799823;107,5694342;685,56;126.491.500.000.000;111.000.000.000.000;566.000.000.000.000;250.240.000.000.000
248,047941;-6,9799751;107,5694126;686,21;125.163.700.000.000;102.000.000.000.000;566.000.000.000.000;250.450.000.000.000
248,228622;-6,9799684;107,5693908;686,84;126.577.800.000.000;0,85;550.000.000.000.000;250.620.000.000.000
248,42841;-6,979962;107,5693689;687,53;126.605.700.000.000;0,62;529.000.000.000.000;250.790.000.000.000
248,628732;-6,9799557;107,5693467;688,17;127.394.800.000.000;0,32;512.000.000.000.000;250.990.000.000.000
248,828322;-6,9799504;107,5693245;689,03;124.306.900.000.000;-0,01;494.000.000.000.000;251.250.000.000.000
249,02823;-6,9799467;107,5693026;689,92;120.196.700.000.000;-0,36;482.000.000.000.000;251.530.000.000.000
249,228302;-6,9799441;107,5692812;690,98;117.723.500.000.000;-0,67;476.000.000.000.000;251.750.000.000.000
249,428412;-6,9799426;107,56926;692,14;115.907.900.000.000;-0,9;470.000.000.000.000;251.890.000.000.000
249,628421;-6,979942;107,5692391;693,46;116.324.800.000.000;-104.000.000.000.000;463.000.000.000.000;251.970.000.000.000
249,848088;-6,9799423;107,5692183;694,75;117.368.200.000.000;-110.000.000.000.000;459.000.000.000.000;251.970.000.000.000
250,048197;-6,9799442;107,5691971;695,81;120.725.200.000.000;-112.000.000.000.000;466.000.000.000.000;251.900.000.000.000
250,228664;-6,9799472;107,569175;696,59;124.083.400.000.000;-111.000.000.000.000;478.000.000.000.000;251.800.000.000.000
250,428298;-6,9799506;107,5691531;697,43;122.825.800.000.000;-107.000.000.000.000;496.000.000.000.000;251.690.000.000.000
250,62874;-6,9799549;107,5691309;698,12;126.395.100.000.000;-0,97;518.000.000.000.000;251.600.000.000.000
250,828777;-6,9799611;107,5691085;698,85;129.179.100.000.000;-0,82;545.000.000.000.000;251.550.000.000.000
251,028355;-6,9799695;107,5690866;699,45;130.048.600.000.000;-0,67;572.000.000.000.000;251.540.000.000.000
251,228337;-6,9799795;107,569065;700,19;132.617.700.000.000;-0,59;597.000.000.000.000;251.570.000.000.000
251,428428;-6,979991;107,5690444;701,2;130.349.800.000.000;-0,62;620.000.000.000.000;251.590.000.000.000
251,628743;-6,9800039;107,5690246;702,23;131.107.600.000.000;-0,74;640.000.000.000.000;251.620.000.000.000
251,828654;-6,9800177;107,5690052;703,31;131.487.000.000.000;-0,88;657.000.000.000.000;251.700.000.000.000
252,028394;-6,9800319;107,5689862;704,42;130.660.100.000.000;-106.000.000.000.000;660.000.000.000.000;251.790.000.000.000
252,228499;-6,9800464;107,5689678;705,57;128.983.900.000.000;-129.000.000.000.000;659.000.000.000.000;251.880.000.000.000
252,428251;-6,9800615;107,5689499;706,62;129.326.900.000.000;-153.000.000.000.000;655.000.000.000.000;251.920.000.000.000
